title,release_year,pages,author,genre,description,thumbnail
The Presocratics,1966,352,Philip Wheelwright,Philosophy,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_105.jpg
Spandau,1976,463,Albert Speer,History,A gripping tale of suspense and intrigue.,https://example.com/covers/book_106.jpg
The Rumble Seat Pony,1971,46,Clarence William Anderson,Animals,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_107.jpg
The Journey with Grandmother,1960,197,Edith Unnerstad,Grandmothers,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_108.jpg
Tyranny of the Majority,1995,352,Lani Guinier,History,A gripping tale of suspense and intrigue.,https://example.com/covers/book_109.jpg
The Origins of the Civil Rights Movement,1986,368,Aldon D. Morris,History,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_110.jpg
Presidential Power and the Modern Presidents,1991,384,Richard E. Neustadt,History,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_111.jpg
"Rest, Rabbit, Rest",1978,32,Jacquelyn Reinach,Juvenile Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_112.jpg
Where the Red Fern Grows,2000,288,Wilson Rawls,Juvenile Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_113.jpg
Poppy's Return,2006,256,Avi,Juvenile Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_114.jpg
Diary of a Spider,2005,40,Doreen Cronin,Juvenile Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_115.jpg
An Old-Fashioned Thanksgiving,2005,32,Louisa May Alcott,Juvenile Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_116.jpg
The Paradox of Choice,2005,265,Barry Schwartz,Business & Economics,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_117.jpg
How to Read Literature Like a Professor,2003,314,Thomas C. Foster,Literary Criticism,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_118.jpg
The Amazing Maurice and His Educated Rodents,2001,256,Terry Pratchett,Juvenile Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_119.jpg
The Wee Free Men,2004,390,Terry Pratchett,Juvenile Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_120.jpg
Going Postal,2004,377,Terry Pratchett,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_121.jpg
Modern Mind,2002,847,Peter Watson,Science,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_122.jpg
She Went All the Way,2002,357,Meg Cabot,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_123.jpg
Island,1962,354,Aldous Huxley,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_124.jpg
A Year in the Life of William Shakespeare,2006,333,James Shapiro,Biography & Autobiography,A gripping tale of suspense and intrigue.,https://example.com/covers/book_125.jpg
Lucy Sullivan Is Getting Married,2002,640,Marian Keyes,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_126.jpg
The Terminal Man,2002,266,Michael Crichton,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_127.jpg
The Art of the Novel,2003,176,Milan Kundera,Literary Criticism,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_128.jpg
The Bromeliad Trilogy,2003,502,Terry Pratchett,Juvenile Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_129.jpg
"Merry Christmas, Amelia Bedelia",2002,64,Peggy Parish,Juvenile Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_130.jpg
Identity,1998,176,Milan Kundera,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_131.jpg
The thief of always,1992,225,Clive Barker,Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_132.jpg
The Illustrated Alchemist,1998,198,Paulo Coelho,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_133.jpg
Mars and Venus Book of Days,1998,368,John Gray,Family & Relationships,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_134.jpg
The Last of the Really Great Whangdoodles,1996,209,Julie Andrews Edwards,Juvenile Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_135.jpg
Today I Feel Silly & Other Moods That Make My Day,1998,40,Jamie Lee Curtis,Juvenile Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_136.jpg
The Missing Piece Meets the Big O,1981,104,Shel Silverstein,Juvenile Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_137.jpg
"Lafcadio, the Lion Who Shot Back",1963,112,Shel Silverstein,Juvenile Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_138.jpg
The Secret Garden Cookbook,1999,128,Amy Cotler,Juvenile Nonfiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_139.jpg
Laura's Album,1998,80,William Anderson,Juvenile Nonfiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_140.jpg
Quivers,1995,341,Robin Quivers,African Americans in radio broadcasting,A gripping tale of suspense and intrigue.,https://example.com/covers/book_141.jpg
Moonspinners,2003,400,Mary Stewart,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_142.jpg
Small Wonder,2003,264,Barbara Kingsolver,Literary Collections,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_143.jpg
Worlds Enough & Time,2002,272,Dan Simmons,Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_144.jpg
The Cheese Monkeys,2002,288,Chip Kidd,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_145.jpg
Travels,2002,400,Michael Crichton,Biography & Autobiography,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_146.jpg
Caesar,2003,928,Colleen McCullough,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_147.jpg
The Forever War,2003,278,Joe Haldeman,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_148.jpg
Amelia Bedelia Goes Camping,2003,64,Peggy Parish,Juvenile Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_149.jpg
The Secret Sister,2005,416,Elizabeth Lowell,Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_150.jpg
Amelia Bedelia Helps Out,2005,64,Peggy Parish,Juvenile Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_151.jpg
Whirlpool,2006,448,Elizabeth Lowell,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_152.jpg
"Teach Us, Amelia Bedelia",2004,64,Peggy Parish,Juvenile Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_153.jpg
Cryptonomicon,2002,1139,Neal Stephenson,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_154.jpg
Falling Up,2002,178,Shel Silverstein,Juvenile Nonfiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_155.jpg
Anansi Boys,2006,387,Neil Gaiman,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_156.jpg
Fragile Things,2006,360,Neil Gaiman,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_157.jpg
What Went Wrong?,2003,186,Bernard Lewis,History,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_158.jpg
Letters from the Earth,2004,321,Mark Twain,Literary Criticism,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_159.jpg
Savannah Blues,2003,404,Mary Kay Andrews,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_160.jpg
The Whipping Boy,2003,90,Sid Fleischman,Juvenile Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_161.jpg
The Innovator's Dilemma,2003,286,Clayton M. Christensen,Business & Economics,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_162.jpg
A Nose for Murder,2003,267,Lee Charles Kelley,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_163.jpg
Happiness,2003,320,Will Ferguson,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_164.jpg
Size 12 Is Not Fat,2006,345,Meg Cabot,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_165.jpg
Warrior of the Light,2004,142,Paulo Coelho,Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_166.jpg
The Devil and Miss Prym,2006,205,Paulo Coelho,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_167.jpg
The Big Bing,2006,368,Stanley Bing,Business & Economics,A gripping tale of suspense and intrigue.,https://example.com/covers/book_168.jpg
One Hundred Years of Solitude,2003,417,Gabriel Garcia Marquez,Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_169.jpg
Walt Whitman,2003,464,Justin Kaplan,Biography & Autobiography,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_170.jpg
How to Make Love Like a Porn Star,2004,592,Jenna Jameson,Biography & Autobiography,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_171.jpg
The Outsider,1953,672,Richard Wright,Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_172.jpg
1421,2004,650,Gavin Menzies,History,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_173.jpg
The Andromeda Strain,2003,327,Michael Crichton,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_174.jpg
Congo,2003,442,Michael Crichton,Fiction,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_175.jpg
Johnny and the Dead,2006,213,Terry Pratchett,Juvenile Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_176.jpg
Amelia Bedelia 40th Anniversary Collection,2003,96,Peggy Parish,Juvenile Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_177.jpg
The Girls of Lighthouse Lane #3,2005,192,Thomas Kinkade,Juvenile Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_178.jpg
The Bradbury Chronicles,2006,384,Sam Weller,Biography & Autobiography,A masterpiece of storytelling that will be remembered for years.,https://example.com/covers/book_179.jpg
Three Rotten Eggs,2005,240,Gregory Maguire,Juvenile Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_180.jpg
The Wicked Day,2003,417,Mary Stewart,Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_181.jpg
The Game,2005,464,Neil Strauss,Biography & Autobiography,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_182.jpg
"The Lion, the Witch and the Wardrobe (picture book edition)",2004,48,C. S. Lewis,Juvenile Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_183.jpg
Gold,2003,416,Isaac Asimov,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_184.jpg
The Kindness of Strangers,2007,400,Katrina Kittle,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_185.jpg
Built to Last,2004,368,Jim Collins,Business & Economics,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_186.jpg
Fluke,2004,321,Christopher Moore,Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_187.jpg
Lord of Light,2004,296,Roger Zelazny,Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_188.jpg
The Perennial Philosophy,2004,336,Aldous Huxley,Philosophy,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_189.jpg
A Crack in the Edge of the World,2006,419,Simon Winchester,History,A gripping tale of suspense and intrigue.,https://example.com/covers/book_190.jpg
Dead Witch Walking,2004,416,Kim Harrison,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_191.jpg
"The Good, the Bad, and the Undead",2005,453,Kim Harrison,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_192.jpg
"Men Are from Mars, Women Are from Venus",2004,368,John Gray,Family & Relationships,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_193.jpg
Sabriel (adult),2004,311,Garth Nix,Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_194.jpg
Slouching Toward Nirvana,2006,288,Charles Bukowski,Poetry,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_195.jpg
Bad Childhood---Good Life,2006,272,Laura Schlessinger,Self-Help,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_196.jpg
Cat Cross Their Graves,2005,385,Shirley Rousseau Murphy,Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_197.jpg
Cat Breaking Free,2006,375,Shirley Rousseau Murphy,Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_198.jpg
Slider,2004,416,Patrick Robinson,Sports & Recreation,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_199.jpg
The Black Dahlia Files,2006,448,Don Wolfe,True Crime,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_200.jpg
Metro Girl,2005,374,Janet Evanovich,Fiction,A gripping tale of suspense and intrigue.,https://example.com/covers/book_201.jpg
Motor Mouth,2006,312,Janet Evanovich,Fiction,An epic adventure that explores the depths of human emotion.,https://example.com/covers/book_202.jpg
Mystic River,2003,416,Dennis Lehane,Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_203.jpg
Great Short Works of Herman Melville,2004,512,Herman Melville,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_204.jpg
The Day I Swapped My Dad for Two Goldfish,2006,64,Neil Gaiman,Juvenile Fiction,An unforgettable journey through twists and turns of fate.,https://example.com/covers/book_205.jpg
Eleven Minutes,2005,273,Paulo Coelho,Fiction,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_206.jpg
Zen and the Art of Motorcycle Maintenance,2006,540,Robert M. Pirsig,Psychology,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_207.jpg
Ulysses S. Grant,2004,176,Michael Korda,Biography & Autobiography,A compelling story that captivates readers from start to finish.,https://example.com/covers/book_208.jpg
